,ItemDesignId,ItemDesignName,ItemDesignKey,ItemDesignDescription,ImageSpriteId,LogoSpriteId,ItemSpace,ItemType,GasCost,MineralCost,Rank,MinRoomLevel,BuildTime,RootItemDesignId,ItemSubType,EnhancementType,EnhancementValue,MarketPrice,DropChance,Ingredients,Rarity,ModuleType,ModuleArgument,Flags,FairPrice,MinShipLevel,ManufactureCost,ItemDesignNameEN,Content,RaceId,RequiredResearchDesignId,ParentItemDesignId,CraftDesignId,MissileDesignId,CharacterPartId,ActiveAnimationId,AnimationId,BorderSpriteId,SoundFileId,CharacterDesignId,TrainingDesignId,RoomDesignId,ParticleSpriteId
0,2,Gas,Gas,Common resource often used for surviving in space.,1246,1246,1,Gas,0,0,1,1,0,2,None,None,0,0,0,,Common,None,0,0,0,0,,Gas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,Mineral,Mineral,Common resource often used for surviving in space.,101,101,1,Mineral,0,0,1,1,0,3,None,None,0,0,0,,Common,None,0,0,0,0,,Mineral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,Rocket,Rocket,Standard military grade rockets. Unaffected by shields and deals damage to ship systems.,1557,1557,2,Missile,10,0,1,1,30,4,None,None,0,0,0,,Common,None,0,0,0,0,gas:10,Rocket,,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3,5,Scarlet,Scarlet,Incendiary warhead causing progressive damage to systems and crew.,1581,1581,3,Missile,90,0,1,1,120,5,None,None,0,0,0,,Common,None,0,0,0,0,gas:90,Scarlet,,0,1,0,0,3,0,0,0,0,0,0,0,0,0
4,6,Mimic,Mimic,An array of rapid fire missiles.,1569,1569,1,Missile,5,0,3,1,40,6,None,None,0,0,0,,Common,None,0,0,0,0,gas:5,Mimic,,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5,7,Jungler,Jungler,Medium sized missile filled with chemical warhead. Effective against crew.,1587,1587,2,Missile,30,0,1,1,45,7,None,None,0,0,0,,Common,None,0,0,0,0,gas:30,Jungler,,0,4,0,0,5,0,0,0,0,0,0,0,0,0
6,8,Penetrator,Penetrator,Special hull-buster missile that is designed to inflict direct damage to the core stability of the enemy ship hull.,1575,1575,2,Missile,75,0,1,1,100,8,None,None,0,0,0,,Common,None,0,0,0,0,gas:75,Penetrator,,0,5,0,0,6,0,0,0,0,0,0,0,0,0
7,9,EMP Missile,EMP Missile,EMP missiles interrupts electronics system causing them to be disabled temporarily.,1563,1563,3,Missile,100,0,1,1,135,9,None,None,0,0,0,,Common,None,0,0,0,0,gas:100,EMP Missile,,0,6,0,0,7,0,0,0,0,0,0,0,0,0
8,11,Ion Core,Ion Core,Concentrated Ion Energy Charge.,3562,3562,2,Missile,300,0,2,1,180,11,None,None,0,0,0,,Common,None,0,0,0,0,gas:300,Ion Core,,0,0,0,0,9,0,0,0,0,0,0,0,0,0
9,12,Ion Core 2,Ion Core 2,Concentrated Ion Energy Charge.,3562,3562,2,Missile,380,0,2,1,180,11,None,None,0,0,0,,Common,None,0,0,0,0,gas:380,Ion Core 2,,0,83,11,0,10,0,0,0,0,0,0,0,0,0
